Index,Category,Claim
968,Conspiracy theories,"Authorities in the Philippines seize fake cigarettes that were spreading coronavirus.		"
969,Conspiracy theories,"Video claims to show a hotel collapsing in Chinese city of Quanzhou after it was used as a coronavirus quarantine facility.		"
970,Medical advice and self-treatments,"Video shows reciting Namaaz and Quran is the only treatment for COVID-19.		"
972,Medical advice and self-treatments,"Hand sanitizer will “do nothing for the coronavirus.”		"
973,Medical advice and self-treatments,"Freshly boiled garlic water is a cure for coronavirus.		"
974,"Public authority actions, policy, and communications","Department of Homeland Security official says illegal border crossings may spread coronavirus.		"
976,"Vaccines, medical treatments, and tests","Israeli scientists at the MIGAL Research Institute have developed a vaccine for COVID-19.		"
977,Medical advice and self-treatments,"Secretary of Health in Mexico recommends taking Vitamin C to prevent coronavirus.		"
978,Claims about prominent actors,"Pier Luigi Bersani: None of the confirmed cases are related to China. Coronavirus might have occured in Italy before China.		"
979,Claims about prominent actors,"Post says “President Trump has come into contact with a potential coronavirus sufferer!”		"
980,Virus origin and properties,"Post says “being exposed to the sun for two hours” kills the 2019 coronavirus.		"
981,"Public authority actions, policy, and communications","“(Former U.S. President Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus. Do you know that Trump closed 37 of them?”		"
982,"Public authority actions, policy, and communications","The Department of Health (DOH) reports fake cigarettes that spread coronavirus have reached the Philippines.		"
983,Community spread and impact,"“An entire family” in Santolan, Pasig, is “confirmed to be infected” with the novel coronavirus, according to what looked like a breaking news graphic from GMA News.		"
984,Virus origin and properties,"Chinese eating exotic animals is the cause of the 2019 novel coronavirus, as shown in photos shared on Facebook.		"
985,Virus origin and properties,"Says 80% of novel coronavirus cases are “mild.”		"
986,Claims about prominent actors,"“Coronavirus — 22. Clintons — 39.”		"
987,Virus origin and properties,"This photo shows the novel coronavirus.		"
988,Claims about prominent actors,"The mayor of Buga, Valle del Cauca, said: “I invite the people of Buga to keep calm and to live each day as if it was the last.”		"
989,Medical advice and self-treatments,"Hot air from hair dryers can kill the coronavirus.		"
990,"Public authority actions, policy, and communications","States are imposing mandatory leave and statewise school closures due to coronavirus.		"
991,Medical advice and self-treatments,"A post has been shared on Facebook, Twitter and Whatsapp claims a regional government in India has recommended that the juice of bitter gourd, a vegetable often used in traditional medicine, is an effective treatment for the novel coronavirus.		"
992,Medical advice and self-treatments,"Hot air application through a hairdryer on the face to heat up nostrils and the sinus kills the novel coronavirus.		"
993,Medical advice and self-treatments,"Consuming colloidal silver can prevent or treat novel coronavirus.		"
994,"Public authority actions, policy, and communications","An image has been shared in multiple posts on Facebook and Twitter alongside a claim that it shows China administering the “world’s first new coronavirus vaccine” after the global outbreak of the novel coronavirus, COVID-19.		"
995,Medical advice and self-treatments,"Smoking prevents you from getting infected with the coronavirus.		"
996,"Public authority actions, policy, and communications","Telangana Ministry in India distributed homeopathic tablets claiming to prevent COVID-19.		"
997,Community spread and impact,"As of 3/7/20, Tanzania and Zambia had confirmed fist cases of the new coronavirus.		"
998,Community spread and impact,"A video purports to show panic-stricken travelers infected with the novel coronavirus at an airport in Senegal.		"
999,"Public authority actions, policy, and communications","A Facebook post shared 25,000 times features an image of a letter purportedly from a U.S. hospital recommending people drink alcohol to help reduce the risks of novel coronavirus infection.		"
1000,Claims about prominent actors,"“More people have died from knowing Hillary (Clinton)” than from coronavirus.		"
1001,Community spread and impact,"A video has been viewed thousands of times in multiple Facebook posts which claims to show the Koran being distributed to people in China after it lifted a “ban” on the Islamic holy text following the outbreak of the novel coronavirus, COVID-19.		"
1002,"Public authority actions, policy, and communications","Graphics or social media cards supposedly from UNICEF contain tips and information on how to prevent and combat the coronavirus outbreak and COVID-19.		"
1003,"Public authority actions, policy, and communications","Research by the Saint Luke’s Hospital of Kansas City found that consuming alcoholic beverages may reduce the risk of infection by coronavirus. Vodka was the most recommended drink.		"
1004,Conspiracy theories,"U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.		"
1005,"Vaccines, medical treatments, and tests","Vietnam was the first country to contain and develop a quick test for SARS and COVID-19.		"
1008,"Public authority actions, policy, and communications","Claim that photos show dogs being killed in China as part of efforts to combat COVID-19.		"
1009,Claims about prominent actors,"Chinese President Xi Jinping visited Muslims to understand why they are not contracting COVID-19.		"
1010,"Public authority actions, policy, and communications","Work suspension in Ecuador due to coronavirus since Monday 09/03/2020.		"
1011,"Public authority actions, policy, and communications","The mayor Of Buffalo told people to evacuate due to the coronavirus outbreak.		"
1012,"Public authority actions, policy, and communications","CDC sponsored Facebook post asking for help with “escaped” coronavirus patient.		"
1013,"Public authority actions, policy, and communications","Emirates has suspended flights to Johannesburg after South Africa announced its first case of novel coronavirus.		"
1014,Community spread and impact,"Girl infected with coronavirus found dead in her apartment in Delhi.		"
