,Claim,Keywords
857,A fake quote of Vice President Leni Robredo suggesting to  inhale cough back  to prevent the spread of the      novel coronavirus   ,"['fake', 'quote', 'vice', 'president', 'leni', 'robredo', 'suggesting', 'inhale', 'cough', 'back', 'prevent', 'spread', 'novel', 'coronavirus']"
858,If you donate blood   they HAVE to test you  for coronavirus   ,"['donate', 'blood', 'have', 'test', 'coronavirus']"
859, During the      swine flu outbreak  Biden made reckless comments unsupported by science   the experts  The Obama Admin had to clean up his mess   apologize for his ineptitude    ,"['during', 'swine', 'outbreak', 'biden', 'made', 'reckless', 'comment', 'unsupported', 'science', 'expert', 'obama', 'admin', 'clean', 'mess', 'apologize', 'ineptitude']"
860,Donald Trump claims Joe Biden  was in charge of the H N  Swine Flu epidemic which killed thousands of people  The response was one of the worst on record  Our response is one of the best  with fast action of border closings and a     approval rating  the highest on record  His was lowest    ,"['donald', 'trump', 'claim', 'biden', 'charge', 'swine', 'epidemic', 'killed', 'thousand', 'people', 'response', 'worst', 'record', 'response', 'best', 'fast', 'action', 'border', 'closing', 'approval', 'rating', 'highest', 'record', 'lowest']"
861,Says Nancy Pelosi was  caught trying to include abortion funding in bill to combat coronavirus    ,"['nancy', 'pelosi', 'caught', 'trying', 'include', 'abortion', 'funding', 'bill', 'combat', 'coronavirus']"
862,In        The Simpsons  predicted Tom Hanks would contract coronavirus in        ,"['simpson', 'predicted', 'hank', 'would', 'contract', 'coronavirus']"
863, The CDC can detain anyone with a fever indefinitely  Vaccination  is  a way people could get out of detention    ,"['detain', 'anyone', 'fever', 'indefinitely', 'vaccination', 'people', 'could', 'detention']"
864,COVID    came to the United States in        ,"['covid', 'came', 'united', 'state']"
865,Saint Luke s Hospital of the USA says consuming alcohol can reduce the risk of COVID      ,"['saint', 'luke', 'hospital', 'consuming', 'alcohol', 'reduce', 'risk', 'covid']"
866,Photo of vegan food products left on otherwise bare supermarket shelf is related to COVID    outbreak and panic buying   ,"['photo', 'vegan', 'food', 'product', 'left', 'otherwise', 'bare', 'supermarket', 'shelf', 'related', 'covid', 'outbreak', 'panic', 'buying']"
867,Chart compares COVID    with other longstanding diseases   ,"['chart', 'compare', 'covid', 'longstanding', 'disease']"
868,Actor Daniel Radcliffe tested positive for covid      ,"['actor', 'daniel', 'radcliffe', 'tested', 'positive', 'covid']"
869,Anti Malaria Drug Chloroquine Is A Cure For Coronavirus   ,"['anti', 'malaria', 'drug', 'chloroquine', 'cure', 'coronavirus']"
870,Racist scene against Chinese people in the metro in Belgium   ,"['racist', 'scene', 'chinese', 'people', 'metro', 'belgium']"
871,Demonstrations against Chinese people in Italy   ,"['demonstration', 'chinese', 'people', 'italy']"
872,Coronavirus found in toilet paper   ,"['coronavirus', 'found', 'toilet', 'paper']"
873,Gargling salt water and vinegar will kill the virus   ,"['gargling', 'salt', 'water', 'vinegar', 'kill', 'virus']"
874,A video claims to show coronavirus being extracted from a man s upper lip   ,"['claim', 'show', 'coronavirus', 'extracted', 'upper']"
875,Uganda did not deport    passengers from high risk COVID    countries   ,"['uganda', 'deport', 'passenger', 'high', 'risk', 'covid', 'country']"
876,American CDC admitted that coronavirus originated in the U S  Many COVID    patients were misdiagnosed as coronavirus   ,"['american', 'admitted', 'coronavirus', 'originated', 'many', 'covid', 'patient', 'misdiagnosed', 'coronavirus']"
877,Coronavirus dies at a temperature above       degrees Celsius as per UNICEF   ,"['coronavirus', 'temperature', 'degree', 'celsius', 'unicef']"
878,Indian yoga guru Baba Ramdev has been infected with coronavirus   ,"['indian', 'yoga', 'guru', 'baba', 'ramdev', 'infected', 'coronavirus']"
879, NYC man drops dead in middle of street   suspected coronavirus    ,"['drop', 'dead', 'middle', 'street', 'suspected', 'coronavirus']"
880,The health insurance industry has  agreed to waive all co payments for coronavirus treatments    ,"['health', 'insurance', 'industry', 'agreed', 'waive', 'payment', 'coronavirus', 'treatment']"
881, MSNBC actually said on air  I hope enough people die from coronavirus that it harms Trump s re election     ,"['msnbc', 'actually', 'said', 'hope', 'enough', 'people', 'coronavirus', 'harm', 'trump', 'election']"
882,Panic scene in Germany with people rushing into a supermarket   ,"['panic', 'scene', 'germany', 'people', 'rushing', 'supermarket']"
883,Actor Daniel Radcliffe tested positive for COVID      ,"['actor', 'daniel', 'radcliffe', 'tested', 'positive', 'covid']"
884,Purported government advisory lists shopping malls and hotels in the Philippines that the department of health advises against visiting during the novel coronavirus epidemic   ,"['purported', 'government', 'advisory', 'list', 'shopping', 'mall', 'hotel', 'philippine', 'department', 'health', 'advises', 'visiting', 'novel', 'coronavirus', 'epidemic']"
885,Video shows a WHO official inappropriately touching a female attendee during a briefing session in China about the novel coronavirus outbreak in Wuhan  Same video was also used with another claim that the man is an Australian politician   ,"['video', 'show', 'official', 'inappropriately', 'touching', 'female', 'attendee', 'briefing', 'session', 'china', 'novel', 'coronavirus', 'outbreak', 'wuhan', 'same', 'also', 'used', 'another', 'claim', 'australian', 'politician']"
886,Senegalese president and government appears with masks during a press conference   ,"['senegalese', 'president', 'government', 'appears', 'mask', 'press', 'conference']"
887,Every U S  election year has a disease outbreak   ,"['every', 'election', 'year', 'disease', 'outbreak']"
888,       deaths In virus outbreak in Michigan  Washington  Idaho  North Dakota  Missouri  Mississippi   ,"['death', 'virus', 'outbreak', 'michigan', 'washington', 'idaho', 'north', 'dakota', 'missouri', 'mississippi']"
889,Tweet says Daniel Radcliffe has the coronavirus   ,"['tweet', 'daniel', 'radcliffe', 'coronavirus']"
890,Post says Harvard scientists say the coronavirus is  spreading so fast that it will infect     of humanity this year    ,"['post', 'harvard', 'scientist', 'coronavirus', 'spreading', 'fast', 'infect', 'humanity', 'year']"
891,Many critics of President Rodrigo Duterte slammed his administration for  slashing  P   billion from the funds allocated for the Department of Health  DOH  in the      national budget   ,"['many', 'critic', 'president', 'rodrigo', 'duterte', 'slammed', 'administration', 'slashing', 'billion', 'fund', 'allocated', 'department', 'health', 'national', 'budget']"
892,You can monitor yourself for COVID    with a breath test   ,"['monitor', 'covid', 'breath', 'test']"
893,UNICEF   advises not to eat ice cream because it reinforces infection with the new coronavirus   ,"['unicef', 'advises', 'cream', 'reinforces', 'infection', 'coronavirus']"
894,First patient healed in Algeria   ,"['first', 'patient', 'healed', 'algeria']"
895,Does Mexico have confirmed cases of COVID      ,"['mexico', 'confirmed', 'case', 'covid']"
896,Anti malaria drug Chloroquine is a definitive cure for COVID      ,"['anti', 'malaria', 'drug', 'chloroquine', 'definitive', 'cure', 'covid']"
897,Costco recalls toilet paper because it s infected with the coronavirus   ,"['costco', 'recall', 'toilet', 'paper', 'infected', 'coronavirus']"
898,Donating blood in the U S  can get you a novel coronavirus test   ,"['donating', 'blood', 'novel', 'coronavirus', 'test']"
899,Employer covered up part of a poster on virus prevention that advised people to stay home when sick   ,"['employer', 'covered', 'part', 'poster', 'virus', 'prevention', 'advised', 'people', 'stay', 'home', 'sick']"
900,Authorities in the Philippines seize fake cigarettes that were spreading coronavirus   ,"['authority', 'philippine', 'seize', 'fake', 'cigarette', 'spreading', 'coronavirus']"
901,Video claims to show a hotel collapsing in Chinese city of Quanzhou after it was used as a coronavirus quarantine facility   ,"['video', 'claim', 'show', 'hotel', 'collapsing', 'chinese', 'city', 'quanzhou', 'used', 'coronavirus', 'quarantine', 'facility']"
902,Video shows reciting Namaaz and Quran is the only treatment for COVID      ,"['video', 'show', 'reciting', 'namaaz', 'quran', 'treatment', 'covid']"
903,Hand sanitizer will  do nothing for the coronavirus    ,"['hand', 'sanitizer', 'nothing', 'coronavirus']"
904,Freshly boiled garlic water is a cure for coronavirus   ,"['freshly', 'boiled', 'garlic', 'water', 'cure', 'coronavirus']"
905,Department of Homeland Security official says illegal border crossings may spread coronavirus   ,"['department', 'homeland', 'security', 'official', 'illegal', 'border', 'crossing', 'spread', 'coronavirus']"
906,Israeli scientists at the MIGAL Research Institute have developed a vaccine for COVID      ,"['israeli', 'scientist', 'migal', 'research', 'institute', 'developed', 'vaccine', 'covid']"
907,Secretary of Health in Mexico recommends taking Vitamin C to prevent coronavirus   ,"['secretary', 'health', 'mexico', 'recommends', 'taking', 'vitamin', 'prevent', 'coronavirus']"
908,Pier Luigi Bersani  None of the confirmed cases are related to China  Coronavirus might have occured in Italy before China   ,"['pier', 'luigi', 'bersani', 'none', 'confirmed', 'case', 'related', 'china', 'coronavirus', 'might', 'occured', 'italy', 'china']"
909,Post says  President Trump has come into contact with a potential coronavirus sufferer    ,"['post', 'president', 'trump', 'come', 'contact', 'potential', 'coronavirus', 'sufferer']"
910,Post says  being exposed to the sun for two hours  kills the      coronavirus   ,"['post', 'exposed', 'hour', 'kill', 'coronavirus']"
911,  Former U S  President Barack Obama  set up anti pandemic programs in    vulnerable countries as a way to protect against something like the coronavirus  Do you know that Trump closed    of them    ,"['former', 'president', 'barack', 'obama', 'anti', 'pandemic', 'program', 'vulnerable', 'country', 'protect', 'something', 'like', 'coronavirus', 'know', 'trump', 'closed']"
912,The Department of Health  DOH  reports fake cigarettes that spread coronavirus have reached the Philippines   ,"['department', 'health', 'report', 'fake', 'cigarette', 'spread', 'coronavirus', 'reached', 'philippine']"
913, An entire family  in Santolan  Pasig  is  confirmed to be infected  with the novel coronavirus  according to what looked like a breaking news graphic from GMA News   ,"['entire', 'family', 'santolan', 'pasig', 'confirmed', 'infected', 'novel', 'coronavirus', 'according', 'looked', 'like', 'breaking', 'news', 'news']"
914,Chinese eating exotic animals is the cause of the      novel coronavirus  as shown in photos shared on Facebook   ,"['chinese', 'eating', 'exotic', 'animal', 'cause', 'novel', 'coronavirus', 'shown', 'photo', 'shared', 'facebook']"
915,Says     of novel coronavirus cases are  mild    ,"['novel', 'coronavirus', 'case', 'mild']"
916, Coronavirus       Clintons         ,"['coronavirus', 'clinton']"
917,This photo shows the novel coronavirus   ,"['this', 'show', 'novel', 'coronavirus']"
918,The mayor of Buga  Valle del Cauca  said   I invite the people of Buga to keep calm and to live each day as if it was the last    ,"['mayor', 'buga', 'valle', 'cauca', 'said', 'invite', 'people', 'buga', 'keep', 'calm', 'live', 'last']"
919,Hot air from hair dryers can kill the coronavirus   ,"['hair', 'dryer', 'kill', 'coronavirus']"
920,States are imposing mandatory leave and statewise school closures due to coronavirus   ,"['state', 'imposing', 'mandatory', 'leave', 'statewise', 'school', 'closure', 'coronavirus']"
921,A post has been shared on Facebook  Twitter and Whatsapp claims a regional government in India has recommended that the juice of bitter gourd  a vegetable often used in traditional medicine  is an effective treatment for the novel coronavirus   ,"['shared', 'facebook', 'twitter', 'whatsapp', 'claim', 'regional', 'government', 'india', 'recommended', 'juice', 'bitter', 'gourd', 'vegetable', 'often', 'used', 'traditional', 'medicine', 'effective', 'treatment', 'novel', 'coronavirus']"
922,Hot air application through a hairdryer on the face to heat up nostrils and the sinus kills the novel coronavirus   ,"['application', 'hairdryer', 'face', 'heat', 'nostril', 'sinus', 'kill', 'novel', 'coronavirus']"
923,Consuming colloidal silver can prevent or treat novel coronavirus   ,"['consuming', 'colloidal', 'silver', 'prevent', 'treat', 'novel', 'coronavirus']"
